24-06-28 11:49:20.782 [http-nio-8082-exec-5] INFO  c.wsd.ecommerce.service.ItemService - Fetching top 5 selling items all time 
24-06-28 11:49:30.546 [http-nio-8082-exec-6] INFO  c.wsd.ecommerce.service.ItemService - Fetching top 5 selling items all time 
24-06-28 11:56:10.364 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.wsd.ecommerce.controller.ItemControllerTest]: ItemControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
24-06-28 11:56:10.553 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.wsd.ecommerce.EcommerceApplication for test class com.wsd.ecommerce.controller.ItemControllerTest 
24-06-28 11:56:10.982 [main] INFO  c.w.e.controller.ItemControllerTest - Starting ItemControllerTest using Java 17.0.9 with PID 7096 (started by atl in D:\Self-Development\Job Interview\wsd\ecommerce-application) 
24-06-28 11:56:10.983 [main] INFO  c.w.e.controller.ItemControllerTest - The following 1 profile is active: "dev" 
24-06-28 11:56:11.652 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
24-06-28 11:56:11.727 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 65 ms. Found 4 JPA repository interfaces. 
24-06-28 11:56:12.211 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... 
24-06-28 11:56:12.351 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@491cafec 
24-06-28 11:56:12.353 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. 
24-06-28 11:56:12.437 [main] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate 
24-06-28 11:56:12.438 [main] INFO  o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi 
24-06-28 11:56:12.438 [main] INFO  o.f.c.i.license.VersionPrinter -  
24-06-28 11:56:12.454 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/wsd-ecommerce (PostgreSQL 10.22) 
24-06-28 11:56:12.504 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 1 migration (execution time 00:00.030s) 
24-06-28 11:56:12.516 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 001 
